City_ID,City,Temperature,Humidity,Cloudiness,wind_speed,Date,Country,Longitude,Latitude
304,kodiak,44.11,70,0,4.61,1727848412,US,-152.4072,57.79
305,dudinka,38.07,77,100,6.89,1727848413,RU,86.1778,69.4058
306,amahai,82.29,65,83,8.25,1727848414,ID,128.9167,-3.3333
307,labrador city,44.19,68,0,13.0,1727848214,CA,-66.9114,52.9463
308,kolyvan',51.6,39,12,9.62,1727848418,RU,82.7391,55.3053
309,sao joao da barra,72.25,83,0,22.32,1727848419,BR,-41.0511,-21.6403
310,cachoeira do sul,65.62,98,100,4.68,1727848420,BR,-52.8939,-30.0392
311,santanyi,69.49,88,38,8.88,1727848421,ES,3.1291,39.3546
312,vorkuta,37.42,86,97,18.05,1727848422,RU,64.0,67.5
313,castillos,51.75,94,93,6.29,1727848425,UY,-53.8333,-34.1667
314,galesong,88.5,59,20,11.43,1727848426,ID,119.3661,-5.3166
315,alotau,80.73,79,69,5.93,1727848427,PG,150.4462,-10.3069
316,khuzdar,88.7,17,0,6.89,1727848428,PK,66.6434,27.7384
317,tsiombe,70.57,66,100,12.41,1727848429,MG,45.4833,-25.3
318,terra nova,62.38,97,92,3.11,1727848430,BR,-40.6667,-12.3667
319,agat village,85.77,84,40,10.36,1727848431,GU,144.6585,13.3886
320,vallenar,65.08,38,0,3.47,1727848433,CL,-70.7581,-28.5708
321,howrah,86.0,84,75,5.75,1727848434,IN,88.3103,22.5892
322,mbanza kongo,72.43,77,97,4.47,1727848435,AO,14.2401,-6.267
323,bayanhongor,42.15,45,2,2.95,1727848436,MN,100.1167,46.7167
324,puerto quijarro,85.39,34,75,1.74,1727848437,BO,-57.7667,-17.7833
325,borzya,54.82,45,69,17.09,1727848438,RU,116.5167,50.3833
326,vyksa,59.16,41,100,8.81,1727848439,RU,42.1744,55.3175
327,kem',44.65,82,98,6.22,1727848441,RU,34.5793,64.9555
328,ocean shores,54.3,96,0,5.75,1727848442,US,-124.1563,46.9737
329,rechka-vydrino,55.45,62,75,3.47,1727848443,RU,104.8461,51.485
330,badiyah,87.96,48,0,6.76,1727848444,OM,58.8,22.45
331,nuuk,36.21,93,75,4.61,1727848445,GL,-51.7216,64.1835
332,vilyuchinsk,61.07,77,100,5.5,1727848446,RU,158.4028,52.9306
333,klaksvik,48.24,75,86,8.43,1727848447,FO,-6.589,62.2266
334,launceston,62.24,51,4,12.66,1727848448,AU,147.1667,-41.45
335,kill devil hills,70.03,91,100,12.66,1727848449,US,-75.676,36.0307
336,didouche mourad,68.22,72,40,2.3,1727848451,DZ,6.6364,36.4525
337,yigo village,86.29,82,40,10.36,1727848452,GU,144.8886,13.5361
338,al qadarif,77.54,69,99,9.01,1727848453,SD,35.3834,14.0349
339,crane,71.67,46,0,11.03,1727848454,US,-102.3501,31.3974
340,windhoek,59.72,10,0,7.0,1727848455,NA,17.0832,-22.5594
341,zalesovo,54.82,62,100,8.1,1727848960,RU,84.7431,53.9939
342,aldinga beach,70.16,50,0,6.93,1727848960,AU,138.4604,-35.2793
343,saint-philippe,73.83,77,48,11.16,1727848960,RE,55.7679,-21.3585
344,pokrovsk,62.91,23,55,13.18,1727848961,UA,37.1758,48.282
345,tromso,37.42,87,75,17.27,1727848961,NO,18.957,69.6496
346,kruisfontein,55.49,63,20,3.8,1727848961,ZA,24.7314,-34.0033
347,kone,74.28,59,7,9.93,1727848961,NC,164.8658,-21.0595
348,dryden,52.09,50,100,12.66,1727848925,CA,-92.7503,49.7833
349,bikenibeu village,87.76,70,20,9.22,1727848961,KI,173.1241,1.3673
350,grand baie,79.45,66,1,5.01,1727848962,MU,57.5802,-20.0182
351,rudnichnyy,43.27,52,88,5.5,1727848962,RU,52.4703,59.617
352,dzhalagash,72.07,26,95,8.28,1727848962,KZ,64.6667,45.0833
353,bandarbeyla,82.92,65,13,15.68,1727848962,SO,50.8122,9.4942
354,gillette,58.17,20,100,7.0,1727848962,US,-105.5022,44.2911
355,flying fish cove,82.08,78,100,10.36,1727848962,CX,105.6791,-10.4217
356,st anne,58.42,82,92,17.65,1727848962,GG,-2.2042,49.715
